name,Calories per gram,Carbs per gram,Fat per gram,Protein per gram, type
"peanut butter,jif whips salty caramel",6.333,0.25,0.5,0.2083, fat
"peanut butter,jif whips w/ salted caramel",6.333,0.25,0.5,0.2083, fat
"peanut butter,jif whips,maple brown sugar",6.333,0.25,0.5,0.2083, fat
"peanut butter,kraft cinnamon granola raisin",5.733,0.3333,0.4,0.2, fat
"peanut butter,krema crunchy natural",5.94,0.22,0.5,0.28, fat
"peanut butter,justins",5.94,0.25,0.5,0.19, fat
"peanut butter,maranatha",5.94,0.19,0.5,0.25, fat
"peanut butter,monkey butter,dark choc cherry",6.419,0.3378,0.473,0.2027, fat
"peanut butter,monkey butter,white choc raspberry",7.297,0.3378,0.5405,0.2703, fat
"peanut butter,naturally more",5.625,0.2188,0.4375,0.2813, fat
"peanut butter,natural",6.4,0.2,0.533,0.2, fat
"peanut butter,naturally nutty-mocha pb",5.63,0.22,0.5,0.25, fat
"peanut butter,naturally nutty-chocolate butter toffee",5.47,0.59,0.41,0.19, fat
"peanut butter,parkers",7.5,0.18,0.54,0.29, fat
"peanut butter,pb crave choco choco",6.063,0.3438,0.4375,0.1875, fat
"peanut butter,pb crave cookie nookie",6.094,0.2813,0.4688,0.1875, fat
"peanut butter,pb crave razzle dazzle",6.063,0.3438,0.4375,0.1875, fat
"peanut butter,pics",5.98,0.0933,0.4867,0.3067, fat
"peanut butter,sanitarium",6.16,0.12,0.5,0.28, fat
"peanut butter,smart balance creamy",6.125,0.1875,0.5,0.2188, fat
"peanut butter,skippy natural",6.56,0.19,0.53,0.22, fat
"peanut butter,smuckers natural",6.25,0.1875,0.5,0.25, fat
"peanut butter,smuckers",6.25,0.19,0.5,0.22, fat
"peanut butter,trader joes (creamy salted)",5.94,0.22,0.5,0.25, fat
"peanut butter,tree of life (crunchy)",6,0.2,0.5,0.23, fat
"peanut butter,wild friends,all natural honey (crunchy)",5.969,0.2188,0.4688,0.2188, fat
"peanut butter,white rose (crunchy)",5.94,0.22,0.5,0.25, fat
"peanuts,planters salted",5.245,0.1633,0.5102,0, fat
"pecan butter,artisana",6.75,0.1563,0.625,0.125, fat
"pesto,three bridges superfood pesto sauce",4.565,0.0645,0.4355,0.0968, fat
"pesto,green",4.719,0.0464,0.4831,0.0464, fat
pistachios,5.734,0.229,0.444,0.0206, fat
power butter,4.734,0.141,0.297,0.375, fat
"pumpkin seeds,in shell",4.32,0.11,0.32,0.24, fat
"salad dressing,caesar (kens steakhouse lite)",2.258,0.0968,0.1935,0.0323, fat
"salad dressing,opa greek yogurt,feta dill",1.883,0.0667,0.15,0.0667, fat
"seeds,sesame (kernels,dried)",6.58,0.062,0.612,0.205, fat
"sour cream,daisy",1.767,0.0333,0.1667,0.0333, fat
"seeds,sunflower (kernels,dried)",5.96,0.136,0.496,0.228, fat
"sour cream,gay lea",1.714,0.0714,0.1429,0.0357, fat
sunbutter,6.25,0.22,0.5,0.22, fat
sunflower seed butter,6.067,0.267,0.467,0.2, fat
"sunflower seed butter,once again organic",5.67,0.27,0.47,0.17, fat
"sunflower seeds,trader joes,raw",6.333,0.2121,0.5152,0.2121, fat
"turkey bacon (smoked),shady brook farms",2.5,0,0.2143,0.1429, fat
"turkey bacon,oscar mayer (cooked)",2.033,0,0.1667,0.1333, fat
walnut butter,7.25,0.107,0.679,0.179, fat
"yumm! sauce,cafe yumm",5.071,0.0714,0.5,0.0714, fat
"coconut & peanut spread,earth balance",6.124988975,0.218833606,0.4999951,0.187473663, fat
"nut & seed butter,nuttzo organic seven",5.968752388,0.2500191,0.468809688,0.187466575, fat
"peanut butter,naturally nutty u00e2u20acu201c honey roasted cinnamon",5.939991827,0.220017297,0.500004752,0.220017297, fat
"peanut butter,krema,smooth & creamy",6.4999896,0.21881565,0.5000312,0.28131955, fat
"peanut butter,naturally nutty u00e2u20acu201c chocolate cherry",5,0.34,0.38,0.25, fat
"peanut butter,peanut butter & co. cinnamon raisin swirl",5,0.41,0.34,0.19, fat
"peanut butter,peanut butter & co. mighty maple",6.187506188,0.375012375,0.437481437,0.187506188, fat
"peanut butter,white chocolate wonderful by the peanut butter & co",6.063016569,0.343991308,0.437992317,0.188002018, fat
"peanut spread,earth balance,coconut & peanut",6.124988975,0.218833606,0.4999951,0.187473663, fat
apple (with skin),0.522,0.1383,0.0017,0.0026, fruit
apple (without skin),0.48,0.128,0.0016,0.0024, fruit
apples (frozen),0.48,0.1232,0.0032,0.0032, fruit
apricots,0.48,0.1128,0.004,0.0144, fruit
blackberries,0.429,0.1021,0.005,0.0136, fruit
banana,0.896,0.2284,0.003,0.0104, fruit
blueberries,0.571,0.1448,0.0029,0.0076, fruit
blueberries (frozen),0.513,0.1214,0.006,0.0043, fruit
cantaloupe,0.339,0.0876,0.0017,0.0085, fruit
casaba melon,0.279,0.066,0.0009,0.0112, fruit
"cherries (red,sour)",0.5,0.1217,0.0033,0.01, fruit
cherries (sweet),0.632,0.16,0.0021,0.0105, fruit
clementines,0.472,0.12,0.0016,0.0088, fruit
dates (with pit),2.613,0.6,0.0125,0.025, fruit
figs,0.741,0.1914,0.0025,0.0074, fruit
cranberries,0.462,0.1223,0.0015,0.0038, fruit
"fruit,giant brand tropical fruit medley",0.494,0.1169,0,0.0065, fruit
grapefruit,0.318,0.081,0.0011,0.0063, fruit
grapes (red or green),0.69,0.1805,0.0012,0.0069, fruit
guavas,0.682,0.1432,0.0091,0.025, fruit
honeydew melon,0.357,0.9107,0.0012,0.0054, fruit
kiwi,0.606,0.1465,0.005,0.0111, fruit
kumquats,0.706,0.1588,0.0082,0.0188, fruit
lychee,0.659,0.1648,0.0044,0.0088, fruit
mango,0.6,0.156,0.004,0.008, fruit
"mango chunks,dole,frozen",0.661,0.15,0.0036,0.0071, fruit
"mango,trader joes frozen mango chunks",0.629,0.15,0,0.0071, fruit
mulberries,0.429,0.0978,0.0036,0.1428, fruit
nectarines,0.438,0.1058,0.0029,0.011, fruit
orange,0.472,0.1176,0.0016,0.0096, fruit
peach,0.387,0.0987,0.0026,0.009, fruit
persimmons (native),1.277,0.334,0.0043,0.0085, fruit
persimmons (japanese),0.698,0.186,0.0023,0.0058, fruit
pear (asian),0.423,0.1063,0.0021,0.0049, fruit
pear,0.577,0.1548,0.001,0.0038, fruit
plum,0.462,0.1138,0.0031,0.0069, fruit
plantain,1.22,0.318,0.004,0.014, fruit
pineapple,0.5,0.1308,0.0008,0.005, fruit
pomegranate,0.833,0.1875,0.0111,0.1667, fruit
"pumpkin,canned",0.337,0.067,0.0003,0.011, fruit
raspberries,0.522,0.1191,0.0061,0.0122, fruit
"pineapple,trader joes frozen",0.657,0.1571,0,0.0071, fruit
tangerine,0.531,0.1336,0.0035,0.008, fruit
strawberries,0.318,0.0767,0.0032,0.0069, fruit
rhubarb,0.211,0.0453,0.0021,0.0091, fruit
strawberries (frozen),0.351,0.0912,0.0012,0.0041, fruit
watermelon,0.3,0.0755,0.0015,0.006, fruit
"salsa,santa barbara mango & peach",0.800453897,0.199960131,0,0, fruit
artisan gluten flour,3.575,0.06,0.015,0.8, protein
"beef,95% lean (cooked)",1.753,0,0.0588,0.3059, protein
"beef stick,grass run farms,original",2.464,0,0.1786,0.2143, protein
"bacon,coles australian shortcut (raw)",1.44,0.02,0.08,0.16, protein
"beef,85% lean ground",2.3,0,0.14,0.26, protein
"beef,90% lean",2.012,0,0.1098,0.2561, protein
"beef,92% lean,lauras,cooked",2.143,0,0.1169,0.2727, protein
"beef,canada safeway extra lean",1.74,0,0.1,0.21, protein
"beef,eye fillet (raw)",1.82,0,0.06,0.32, protein
"beef,96% ground beef (pan fried)",1.64,0,0.059,0.258, protein
"beef,flank steak",2.12,0,0.106,0.27, protein
"beef,ground 93%",1.92,0,0.0982,0.2589, protein
"beef,moose steak",1.34,0,0.01,0.29, protein
"beef,new york strip (lean)",2.1,0,0.1,0.3, protein
"beef,rib-eye steak",1.811,0,0.071,0.294, protein
"beef,morrisons british lean diced casserole (raw)",1.287,0,0.043,0.225, protein
"beef,tenderloin",1.48,0,0.06,0.22, protein
"beef,top sirloin",1.72,0,0.056,0.305, protein
"beef,tesco diced (raw)",1.279,0,0.047,0.214, protein
"beef,top round",1.772,0,0.056,0.317, protein
"bison,ground (cooked)",1.81,0,0.09,0.25, protein
"bison,top sirloin",1.637,0,0.0565,0.281, protein
carbmasters yogurt,0.35,0.02,0.01,0.05, protein
caribou,1.589,0,0.044,0.298, protein
"cheese,2% cheddar",3,0.0179,0.2143,0.25, protein
"cheese,allegro 16%",2.7,0.0333,0.1667,0.2667, protein
"cheese,cache valley string cheese",2.958,0.0208,0.2083,0.25, protein
"cheese,feta (fat-free)",1.03,0.03,0,0.24, protein
"cheese,mozzarella fat-free",1.61,0.07,0,0.32, protein
"cheese,life time fat free all types",1.43,0.04,0,0.29, protein
"cheese,monterrey jack cheese (reduced fat organic valley brand)",2.86,0,0.19,0.24, protein
"cheese,philadelphia lightest soft cheese",1.947,0.06,0.0267,0.3667, protein
"cheese,ricotta fat free (precious)",0.645,0.0645,0,0.0968, protein
"cheese,rocky mountain quark",0.87,0.04,0.03,0.11, protein
"cheese,ricotta low-fat (precious)",0.935,0.0645,0.0323,0.0968, protein
"cheese,skinny cow light (wedge)",1.67,0.05,0.07,0.1, protein
"cheese,valio-edam 17%.",2.71,0,0.17,0.29, protein
"chicken breast,maple leaf nat. selections shaved",0.953,0,0.0156,0.2031, protein
"chicken sausage,applegate chicken and maple",1.818,0.0303,0.1212,0.1515, protein
"chicken,breast",1.575,0,0.035,0.315, protein
"chicken,canned (kirkland)",1.06,0,0.02,0.23, protein
"chicken,coleman links (uncooked)",1.842,0.0263,0.1053,0.1974, protein
"chicken,cutlets perdue",1,0,0.013,0.221, protein
"chicken,ground (smart chicken brand)",1.3,0.0111,0.0111,0.2889, protein
"chicken,daily chef (canned)",0.866,0,0.0211,0.169, protein
"chicken,ground,lean",1.28,0,0.06,0.18, protein
"chicken,kirkland chicken strips (cooked)",1.26,0.01,0.02,0.26, protein
"chicken,land o frost premium oven roasted slices",1.417,0.0185,0.0833,0.1481, protein
"chicken,lau lau",1.177,0.0035,0.0883,0.0919, protein
"chicken,life smart",2.893,0,0.1786,0.3214, protein
"chicken,oscar meyer carving board (breast)",1.07,0,0.02,0.23, protein
"chicken,sausage",1.13,0,0.04,0.18, protein
"chicken,sausage al fresco apple maple (raw weight)",1.578,0.0313,0.0781,0.1875, protein
"chicken,sausage-tecumseh farms (uncooked)",1.75,0.0147,0.1029,0.1912, protein
"chicken,sunrise farms chicken breast burger (cooked)",1.575,0,0.0531,0.2743, protein
"chicken,swanson canned (strained)",1.07,0.02,0.02,0.21, protein
"chicken,tenderloins,trader joes",1.07,0,0.01,0.25, protein
"chicken,thigh (boneless skinless)",1.999,0,0.1079,0.2571, protein
"chicken,trader joes premium white chicken in water (canned)",1.577,0,0.0385,0.3077, protein
"chicken,wing",2.1,0,0.1,0.3, protein
"chuck roast,lean,(raw)",1.189,0,0.033,0.223, protein
"cottage cheese,albertsons (fat free)",0.691,0.045,0,0.127, protein
"cottage cheese,beatrice 1%",0.744,0.056,0.008,0.112, protein
"cottage cheese,borden",0.71,0.04,0.01,0.12, protein
"cottage cheese,breakstone (2%)",0.762,0.048,0.02,0.097, protein
"cottage cheese,breakstones (fat free)",0.64,0.06,0,0.1, protein
"cottage cheese,breakstone no-salt (1%)",0.781,0.035,0.009,0.14, protein
"cottage cheese,bulla (97% ff)",0.85,0.06,0.02,0.1, protein
"cottage cheese,daily chef (2%)",0.8,0.05,0.02,0.1, protein
"cottage cheese,cabot (fat-free)",0.62,0.04,0,0.12, protein
"cottage cheese,coles farmland (low fat)",1.43,0.09,0.04,0.18, protein
"cottage cheese,dairy farmers",1.042,0.026,0.054,0.113, protein
"cottage cheese,dairy farmers low-fat",1.119,0.054,0.031,0.156, protein
"cottage cheese,dairy farmers",0.9,0.04,0.02,0.12, protein
"cottage cheese,dairyland (2%)",0.88,0.04,0.02,0.12, protein
"cottage cheese,dairyland (dry curd)",0.88,0.02,0,0.18, protein
"cottage cheese,dairyland 1%",0.844,0.056,0.012,0.128, protein
"cottage cheese,darigold (2%)",0.88,0.04,0.02,0.12, protein
"cottage cheese,deans 1%",0.792,0.0531,0.0133,0.115, protein
"cottage cheese,friendship (1%)",0.8,0.03,0.01,0.14, protein
"cottage cheese,great value (fat-free)",0.7,0.04,0,0.12, protein
"cottage cheese,harris teeter (low-fat)",0.8,0.05,0.02,0.12, protein
"cottage cheese,hiland (2%)",0.79,0.04,0.02,0.11, protein
"cottage cheese,horizons organic 2%",0.836,0.0354,0.0221,0.1239, protein
"cottage cheese,island farms 1%",0.713,0.0333,0.0125,0.1167, protein
"cottage cheese,kraft 2%",0.74,0.06,0.02,0.09, protein
"cottage cheese,kroger fat free",0.71,0.04,0,0.13, protein
"cottage cheese,lactaid (1%)",0.71,0.06,0.01,0.11, protein
"cottage cheese,land o lakes (1%)",0.71,0.04,0.01,0.12, protein
"cottage cheese,meadow gold",1.106,0.0442,0.0442,0.1327, protein
"cottage cheese,lucerne (fat free)",0.71,0.04,0,0.12, protein
"cottage cheese,meijer 1%",0.721,0.0354,0.0133,0.115, protein
"cottage cheese,nordica 1%",0.71,0.04,0.01,0.12, protein
"cottage cheese,nordica fat-free",0.704,0.056,0,0.12, protein
"cottage cheese,organic 365 brand (fat free)",0.71,0.04,0,0.12, protein
"cottage cheese,organic valley (2%)",0.855,0.036,0.018,0.136, protein
"cottage cheese,sealtest (1%)",0.792,0.06,0.008,0.12, protein
"cottage cheese,roberts dairy (low-fat)",0.71,0.04,0.01,0.12, protein
"cottage cheese,shamrock farms low fat",0.818,0.0455,0.0182,0.1182, protein
"cottage cheese,trader joes (fat free)",0.62,0.04,0,0.12, protein
"cottage cheese,tesco light choices",0.8,0.05,0.02,0.12, protein
"cottage cheese,trader joes (non-fat)",0.71,0.04,0,0.13, protein
"cottage cheese,trader joes cottage cheese,low fat,1.5% milkfat",0.8,0.04,0.02,0.12, protein
"cottage cheese,viva fat-free",0.71,0.04,0,0.12, protein
"cottage cheese,weight watchers",0.877,0.038,0.025,0.125, protein
"cottage cheese,weight watchers (low-fat)",0.91,0.04,0.02,0.12, protein
"egg whites,egg beaters",0.435,0,0,0.1087, protein
"egg white,muscle eggs",0.505,0.0211,0,0.1055, protein
"egg whites,egg whites international",0.459,0.0082,0,0.1066, protein
"egg whites,liquid (all whites)",0.54,0,0,0.11, protein
"egg whites,liquid (daily chef)",0.435,0,0,0.1087, protein
"egg whites,liquid (muscle egg)",0.49,0.02,0,0.1, protein
"egg whites,liquid (muscle egg) chocolate and chocolate caramel",0.55,0.02,0,0.11, protein
"egg whites,liquid (organic 365)",0.54,0,0,0.11, protein
"egg whites,liquid (organic valley)",0.42,0.02,0,0.1, protein
"egg whites,liquid (presidents choice blue menu)",0.444,0,0,0.1111, protein
"egg whites,naturegg simply",0.444,0,0,0.1111, protein
"egg whites,muscle eggs,key lime",0.471,0.0126,0,0.105, protein
"egg,muscle egg whites (vanilla)",0.506,0.0211,0,0.1055, protein
"egg,whites (golden egg)",0.407,0,0,0.1017, protein
elk (raw),1.065,0,0.015,0.2325, protein
"eggs,kirkland real egg product",0.49,0.02,0,0.1, protein
"goat milk,redwood hill farm",0.59,0.04,0.03,0.04, protein
"greek yogurt,activia (2%)",0.67,0.05,0.02,0.07, protein
"greek yogurt,anchor",0.527,0.025,0.011,0.082, protein
"greek yogurt,chobani (fat-free)",0.59,0.041,0,0.106, protein
"greek yogurt,black swan (fat-free)",0.67,0.09,0,0.06, protein
"greek yogurt,dannon (fat-free)",0.56,0.04,0,0.1, protein
"greek yogurt,fage (fat-free)",0.59,0.04,0,0.11, protein
"greek yogurt,fage 2%",0.74,0.04,0.02,0.1, protein
"greek yogurt,farmers union (light)",1.01,0.09,0.05,0.06, protein
"greek yogurt,fred meyer light",0.543,0.0357,0.0022,0.0951, protein
"greek yogurt,greek gods 0%",0.35,0.06,0,0.04, protein
"greek yogurt,giant eagle (0% fat)",0.546,0.0308,0,0.1057, protein
"greek yogurt,hy-vee plain (fat free)",0.612,0.0471,0,0.1059, protein
"greek yogurt,kirkland signature (plain/fat-free)",0.526,0.029,0,0.103, protein
"greek yogurt,kroger (0%)",0.66,0.04,0,0.1, protein
"greek yogurt,liberte (low-fat)",0.615,0.034,0.002,0.114, protein
"greek yogurt,liberte blueberry (0%)",0.86,0.14,0,0.09, protein
"greek yogurt,liberte (lactose free)",0.526,0.0286,0,0.1029, protein
"greek yogurt,nostimo nonfat",0.581,0.0441,0,0.1013, protein
"greek yogurt,liberte organic (fat-free)",0.48,0.046,0,0.074, protein
"greek yogurt,oikos (fat-free)",0.57,0.04,0,0.097, protein
"greek yogurt,olympic krema (fat free,plain)",0.706,0.0514,0.0023,0.12, protein
"greek yogurt,oikos 0% fat,vanilla",0.818,0.1289,0,0.0756, protein
"greek yogurt,presidents choice (0%)",0.69,0.07,0,0.1, protein
"greek yogurt,siggis (fat-free)",0.59,0.04,0,0.11, protein
"greek yogurt,skotidakis 0% plain",0.64,0.0571,0,0.1029, protein
"greek yogurt,trader joes (non-fat)",0.6,0.05,0,0.1, protein
"greek yogurt,trader joes (fat free)",0.53,0.03,0,0.1, protein
"greek yogurt,voskos (fat-free)",0.581,0.039,0,0.106, protein
"ham,applegate black forest",0.955,0,0.0268,0.1786, protein
"greek yogurt,yoplait (0%)",0.67,0.07,0,0.09, protein
"ground turkey,lilydale,extra lean",1.867,0,0.0772,0.2932, protein
"ham,kirkland extra lean (sliced)",0.875,0,0.0179,0.1786, protein
"ham,boars head tavern",1.098,0.0357,0.0268,0.1786, protein
"ham,kirkland smoked black forest",1.48,0.04,0.04,0.24, protein
"ham,maple leaf natural selections,smoked black forest",0.953,0,0.0156,0.2031, protein
"ham,oscar meyer deli slices",0.762,0,0.0231,0.1385, protein
"ham,pillers black forest deli",1.1,0,0.033,0.2, protein
"ham,pillers simply free smoked breakfast",1.269,0.0385,0.0385,0.1923, protein
"ice cream,cool whey",1.144,0.0833,0.0333,0.1278, protein
"jerky,jack links",2.86,0.14,0.04,0.54, protein
"jerky,caveman chicken,chipotle honey",2.482,0.0714,0.0536,0.4286, protein
"jerky,turkey perky",3.21,0.21,0.07,0.39, protein
kanga bangas,0.91,0.03,0.01,0.17, protein
kangaroo filet (raw),0.98,0.01,0,0.23, protein
kangaroo mince (raw),1.02,0.01,0.02,0.21, protein
kangaroo steak (raw),0.99,0.01,0.01,0.22, protein
kangaroon roasts (raw),0.97,0.02,0,0.22, protein
moose,1.36,0,0,0.29, protein
"lamb,lean heartsmart (raw)",1.27,0,0.05,0.21, protein
liberte quark,0.587,0.03,0.003,0.11, protein
octopus,1.64,0.05,0.02,0.29, protein
"ostrich,ground",1.018,0,0.018,0.214, protein
"ostrich,steak",1.198,0,0.022,0.25, protein
"pepperoni,applegate naturals uncured turkey",1.357,0,0.0714,0.1786, protein
"pasta,black bean spaghetti (dry)",2.88,0.19,0.04,0.44, protein
"pork,boneless center cut lean",1.73,0,0.06,0.27, protein
"pork,ham (cooked)",1.18,0.02,0.04,0.22, protein
"pork,oscar meyer carving board ham",1.07,0.02,0.02,0.21, protein
"pork,canadian bacon slices,land-o-frost",0.95,0.0333,0.0167,0.1667, protein
"pork,pork chops,roseland boneless (raw)",1.169,0,0.0397,0.2028, protein
"pork,sirloin tip roast - 98% fat-free (kirkland)",0.906,0,0.013,0.196, protein
"pork,tenderloin",1.64,0,0.048,0.281, protein
"pork,oscar meyer carving board pulled pork",1.55,0.04,0.07,0.21, protein
"protein powder,1st phorm,formula-1 looped fruit",3.712,0.0385,0.0192,0.8462, protein
"protein powder,365 whey chocolate",2.732,0.0714,0.0179,0.5714, protein
"protein powder,about time 100% whey protein isolate (all flavours)",3.57,0,0,0.88, protein
"protein powder,310 shake",3.73,0.06,0.03,0.79, protein
"protein powder,365 whey vanilla",3.892,0.3214,0.0357,0.5714, protein
"protein powder,4everfit fruit blast isolate",3.571,0.0357,0,0.8571, protein
"protein powder,about time casein,chocolate",4.118,0.1176,0.1176,0.6471, protein
"protein powder,amplify xl double chocolate explosion",4.11,0.1567,0.0833,0.6833, protein
"protein powder,allmax isoflex whey (all flavors)",3.7,0.0167,0.003,0.9, protein
"protein powder,advocare",3.54,0.15,0.05,0.61, protein
"protein powder,about time casein,peanut butter",4.471,0.1471,0.1176,0.7059, protein
"protein powder,alkaline extreme whey",3.86,0.19,0.06,0.64, protein
"protein powder,annex elite gold,chocolate peanut butter",3.5,0.0909,0.0455,0.6818, protein
"protein powder,arbonne",3.881,0.3333,0.0714,0.4762, protein
"protein powder,balance vanilla whey",3.935,0.066,0.055,0.794, protein
"protein powder,beverly international muscle provider",3.621,0.103,0.034,0.724, protein
"protein powder,amplify xl strawberry slam",3.913,0.145,0.0667,0.6833, protein
"protein powder,beverly international ultimate muscle protein",3.984,0.125,0.1094,0.625, protein
"protein powder,beverly international ultimate muscle provider",3.968,0.129,0.097,0.645, protein
"protein powder,big bitch formula",3.3,0.04,0,0.78, protein
"protein powder,bio trust protein blend",3.875,0.2,0.075,0.6, protein
"protein powder,bioflex hydroflex",3.78,0.02,0.01,0.89, protein
"protein powder,biochem whey",3.91,0.04,0.01,0.87, protein
"protein powder,bioflex biofurnace",3.73,0.02,0.01,0.88, protein
"protein powder,biox protein fusion",4.109,0.094,0.083,0.809, protein
"protein powder,biox power whey isolate",3.71,0.01,0.01,0.89, protein
"protein powder,bioflex proflex",3.89,0.05,0.04,0.83, protein
"protein powder,biotrust,low carb",3.875,0.2,0.075,0.6, protein
"protein powder,bluebonnet whey isolate",3.48,0,0,0.84, protein
"protein powder,body nutrition,gardenia choc. cacao",3.553,0.1842,0.0789,0.5263, protein
"protein powder,body fortress vanilla",4.24,0.09,0.06,0.79, protein
"protein powder,body basix isolate (chocolate)",3.75,0.04,0,0.83, protein
"protein powder,body nutrition,gardenia vanilla bean",3.421,0.2105,0.0526,0.5263, protein
"protein powder,body tech whey tech",3.849,0.0987,0.0329,0.7895, protein
"protein powder,bodytech,rich chocolate",4.063,0.1667,0.0625,0.7083, protein
"protein powder,brng proto whey",3.89,0.11,0.11,0.56, protein
"protein powder,bodytech primalpro,chocolate",3.674,0.1163,0.0465,0.6977, protein
"protein powder,bpi sports whey-hd",3.333,0.0769,0.0513,0.641, protein
"protein powder,bsn lean dessert banana nut",4.214,0.229,0.1,0.6, protein
"protein powder,bsn-syntha 6 isolate",3.547,0.1105,0.0526,0.6579, protein
"protein powder,captain anabolic pro peptide r22",3.802,0.062,0.026,0.83, protein
"protein powder,bulk nutrients wpc strawberry and banana",3.94,0.05,0.06,0.8, protein
"protein powder,bulk nutrients wpc chocolate",3.9,0.07,0.07,0.77, protein
"protein powder,bulk nutrients wpc vanilla",3.97,0.05,0.06,0.81, protein
"protein powder,cell biology,chocolate",3.883,0.0125,0.0125,0.93, protein
"protein powder,cellucor cor performance,cookies n cream",3.809,0.1176,0.0441,0.7353, protein
"protein powder,cellucor cor-performance whey",3.82,0.09,0.04,0.74, protein
"protein powder,cellucor,peanut butter marshmallow",3.691,0.0882,0.0441,0.7353, protein
"protein powder,champion cookies and cream pure whey",3.91,0.05,0.05,0.81, protein
"protein powder,clutch bodyshop",3.125,0,0,0.7813, protein
"protein powder,core pro,peanut butter ice cream",4.025,0.1238,0.0619,0.743, protein
"protein powder,creamy choc fudge (plant)",3.739,0.2826,0.087,0.4565, protein
"protein powder,davinci chocolate whey",3.736,0.2308,0.0433,0.6059, protein
"protein powder,denovo nutrition max mps pure whey protein isolate",3.6,0.0333,0,0.8667, protein
"protein powder,dales raw foods",3.64,0.04,0.04,0.8, protein
"protein powder,cytosport",3.86,0.08,0.07,0.74, protein
"protein powder,designer whey natural",3.924,0.77,0.077,0.731, protein
"protein powder,diesel nutrition banana flavor",3.697,0.0167,0.0033,0.9, protein
"protein powder,dot fit whey smooth-chocolate",3.91,0.19,0.06,0.63, protein
"protein powder,diesel,vanilla",3.697,0.0167,0.0033,0.9, protein
"protein powder,dream protein",4.33,0.14,0,0.83, protein
"protein powder,dymatize elite vanilla",3.68,0.06,0.05,0.77, protein
"protein powder,dymatize elite casein cookies n cream",3.75,0.16,0.03,0.75, protein
"protein powder,dymatize blueberry muffin",3.682,0.182,0.045,0.636, protein
"protein powder,dymatize elite,pina colada",3.706,0.0588,0.0588,0.7353, protein
"protein powder,dymatize elite,cinnamon bun",3.586,0.0857,0.0429,0.7143, protein
"protein powder,dymatize elite,chocolate cake batter",3.971,0.0857,0.0857,0.7143, protein
"protein powder,dymatize elite whey (chocolate fudge)",3.786,0.076,0.061,0.733, protein
"protein powder,eas whey (vanilla)",4.071,0.086,0.071,0.771, protein
"protein powder,dynamite iso 100,gourmet chocolate",3.629,0.0645,0.0161,0.8065, protein
"protein powder,dymatize nutrition elite xt (rich chocolate)",3.91,0.18,0.06,0.64, protein
"protein powder,dymatize iso",3.84,0.04,0,0.92, protein
"protein powder,elite whey protein isolate (chocolate mint)",3.765,0.062,0.062,0.741, protein
"protein powder,evochem hydropro",3.75,0.06,0,0.84, protein
"protein powder,ex-2",4.33,0.27,0.07,0.67, protein
"protein powder,extreme mass (strawberry)",4.29,0.43,0.09,0.43, protein
"protein powder,gemma pea isolate",4,0.03,0.07,0.8, protein
"protein powder,giant sports (chocolate)",3.894,0.1111,0.05,0.75, protein
"protein powder,garden of life raw",3.652,0.1739,0,0.7391, protein
"protein powder,gnc 100% casein",3.81,0.24,0.04,0.6, protein
"protein powder,gladiator by smoothie king",3.33,0.03,0,0.79, protein
"protein powder,gnc performance pro 100% whey vanilla",3.87,0.12,0.06,0.71, protein
"protein powder,gnc whey iso burst protein powder,vanilla",3.681,0.0213,0.0213,0.8511, protein
"protein powder,gnc amplified wheybolic",3.54,0.09,0.01,0.76, protein
"protein powder,gnc whey isolate",3.89,0.11,0.03,0.78, protein
"protein powder,go vita whey isolate",3.73,0.01,0.01,0.9, protein
"protein powder,goldtouch whey vanilla",3.58,0.03,0.02,0.82, protein
"protein powder,growing naturals pea original",3.68,0.05,0.05,0.79, protein
"protein powder,growing naturals rice vanilla",3.24,0.12,0,0.71, protein
"protein powder,growing naturals rice chocolate",3.53,0.15,0,0.71, protein
"protein powder,harmonized vegan",3.71,0.14,0.05,0.71, protein
"protein powder,harmonized",3.483,0.0333,0.0167,0.8, protein
"protein powder,healthy n fit 100% egg",3.429,0,0,0.857, protein
"protein powder,hpn prozero,chocolate",3.255,0.0671,0.0336,0.6711, protein
"protein powder,hit,core evolution",3.9,0.1,0.0333,0.8, protein
"protein powder,heartland gold sprouted brown rice",3.98,0.15,0.02,0.8, protein
"protein powder,intek (all flavors)",3.511,0.1111,0.0444,0.6667, protein
"protein powder,interactive absolute vegetarian",3.63,0,0.03,0.83, protein
"protein powder,hpn prozero,vanilla",3.255,0.0671,0.0336,0.6711, protein
"protein powder,intek evolution",4,0.05,0.03,0.85, protein
"protein powder,intrapro whey isolate",4.31,0.14,0.1,0.69, protein
"protein powder,ironvegan,sprouted protein (vanilla)",3.688,0.1667,0.0208,0.7083, protein
"protein powder,isagenix isapro whey",4.35,0.09,0.07,0.78, protein
"protein powder,iso xp-whey isolate vanilla",3.6,0.0667,0,0.8333, protein
"protein powder,iso-95 caruso fitness nutrition,vanilla",3.644,0,0,0.9111, protein
"protein powder,isoflex",3.733,0.0333,0,0.9, protein
"protein powder,isology all flavours",3.53,0.07,0.04,0.82, protein
"protein powder,isofusion vanilla ice cream",3.629,0.0645,0.0161,0.8065, protein
"protein powder,isomorph 28 chocolate",3.82,0.12,0.01,0.82, protein
"protein powder,isopure lowcarb dutch chocolate",3.4,0.046,0.016,0.769, protein
"protein powder,isopure zero carb creamy vanilla",3.37,0,0.016,0.806, protein
